Year,Scenario,Solar_capex_usd_per_mw,notes
2025,solar_low,"$1,456,000 ","NREL ATB 2024, Utility-Scale PV Class 5, Market, 2025"
2025,solar_mid,"$1,492,000 ",
2025,solar_high,"$1,541,000 ",
2026,solar_low,"$1,379,000 ",
2026,solar_mid,"$1,432,000 ",
2026,solar_high,"$1,505,000 ",
2027,solar_low,"$1,302,000 ",
2027,solar_mid,"$1,372,000 ",
2027,solar_high,"$1,470,000 ",
2028,solar_low,"$1,224,000 ",
2028,solar_mid,"$1,313,000 ",
2028,solar_high,"$1,435,000 ",
2029,solar_low,"$1,147,000 ",
2029,solar_mid,"$1,253,000 ",
2029,solar_high,"$1,400,000 ",
2030,solar_low,"$1,070,000 ",
2030,solar_mid,"$1,193,000 ",
2030,solar_high,"$1,365,000 ",
2031,solar_low,"$992,000 ",
2031,solar_mid,"$1,134,000 ",
2031,solar_high,"$1,330,000 ",
2032,solar_low,"$915,000 ",
2032,solar_mid,"$1,074,000 ",
2032,solar_high,"$1,295,000 ",
2033,solar_low,"$838,000 ",
2033,solar_mid,"$1,015,000 ",
2033,solar_high,"$1,260,000 ",
2034,solar_low,"$760,000 ",
2034,solar_mid,"$955,000 ",
2034,solar_high,"$1,224,000 ",
2035,solar_low,"$683,000 ",
2035,solar_mid,"$895,000 ",
2035,solar_high,"$1,189,000 ",
2036,solar_low,"$675,000 ",
2036,solar_mid,"$881,000 ",
2036,solar_high,"$1,170,000 ",
2037,solar_low,"$659,000 ",
2037,solar_mid,"$853,000 ",
2037,solar_high,"$1,130,000 ",
2038,solar_low,"$651,000 ",
2038,solar_mid,"$839,000 ",
2038,solar_high,"$1,111,000 ",
2039,solar_low,"$643,000 ",
2039,solar_mid,"$825,000 ",
2039,solar_high,"$1,091,000 ",
2040,solar_low,"$643,000 ",
2040,solar_mid,"$825,000 ",
2040,solar_high,"$1,091,000 ",
2041,solar_low,"$635,000 ",
2041,solar_mid,"$810,000 ",
2041,solar_high,"$1,072,000 ",
2042,solar_low,"$627,000 ",
2042,solar_mid,"$796,000 ",
2042,solar_high,"$1,052,000 ",
2043,solar_low,"$619,000 ",
2043,solar_mid,"$782,000 ",
2043,solar_high,"$1,032,000 ",
2044,solar_low,"$611,000 ",
2044,solar_mid,"$768,000 ",
2044,solar_high,"$1,013,000 ",
2045,solar_low,"$603,000 ",
2045,solar_mid,"$754,000 ",
2045,solar_high,"$993,000 ",
