gas_case,ndc_scenario,is_flat,feasible,status
baseline,ndc2_unconditional,False,True,optimal
downside,ndc2_unconditional,False,True,optimal
upside,ndc2_unconditional,False,True,optimal
shock_recovery,ndc2_unconditional,False,True,optimal
baseline,ndc2_conditional,False,True,optimal
downside,ndc2_conditional,False,True,optimal
upside,ndc2_conditional,False,True,optimal
shock_recovery,ndc2_conditional,False,True,optimal
baseline,ndc3_unconditional,False,True,optimal
downside,ndc3_unconditional,False,True,optimal
upside,ndc3_unconditional,False,True,optimal
shock_recovery,ndc3_unconditional,False,True,optimal
baseline,ndc3_conditional,False,True,optimal
downside,ndc3_conditional,False,True,optimal
upside,ndc3_conditional,False,True,optimal
shock_recovery,ndc3_conditional,False,True,optimal
flat_downside,ndc2_unconditional,True,True,optimal
flat_upside,ndc2_unconditional,True,True,optimal
flat_shock_recovery,ndc2_unconditional,True,True,optimal
flat_downside,ndc2_conditional,True,True,optimal
flat_upside,ndc2_conditional,True,True,optimal
flat_shock_recovery,ndc2_conditional,True,True,optimal
flat_downside,ndc3_unconditional,True,True,optimal
flat_upside,ndc3_unconditional,True,True,optimal
flat_shock_recovery,ndc3_unconditional,True,True,optimal
flat_downside,ndc3_conditional,True,True,optimal
flat_upside,ndc3_conditional,True,True,optimal
flat_shock_recovery,ndc3_conditional,True,True,optimal
