year,demand_twh,gas_avail_twh_th,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_price_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor,subsidy_per_mw_usd
2025,23.08,40.66,40.66,17.4838,0.23652000000000004,0.0425736,5.3171064,7360679.8,12892732000.0,0.0,1.0,0.0
2026,24.0032,40.66,36.852204,15.84644772,0.23652000000000004,0.0425736,7.8776585,6671354.49012,0.0,64744.327,0.9090909090909091,0.0
2027,24.963328,40.66,33.028686,14.20233498,0.41528476067400005,0.074751257,10.270957,5979183.02658,0.0,58858.479,0.8264462809917354,0.0
2028,25.961861120000002,40.66,29.205169,12.558222670000001,2.7804847606740006,0.50048726,10.122667,5287011.744070001,0.0,53507.709,0.7513148009015775,0.0
2029,27.000335564800004,40.66,25.381651,10.91410993,5.145684760674002,0.92622326,10.014318,4594840.28053,0.0,48643.371,0.6830134553650705,0.0
2030,28.080348987392,40.66,21.558133,9.26999719,7.510884760674002,1.3519593,9.9475079,3902668.8169899997,0.0,44221.247,0.6209213230591549,0.0
2031,29.203562946887686,40.66,21.558133,9.26999719,9.876084760674003,1.7776953,8.2797858,3902668.8169899997,0.0,40201.133,0.5644739300537772,0.0
2032,30.371705464763192,40.66,21.558133,9.26999719,12.241284760674002,2.2034313,6.6569923,3902668.8169899997,0.0,36546.485,0.5131581182307065,0.0
2033,31.58657368335372,40.66,21.558133,9.26999719,14.606484760674004,2.6291673,5.0809246,3902668.8169899997,0.0,33224.077,0.4665073802097331,0.0
2034,32.85003663068787,40.66,21.558133,9.26999719,16.971684760674005,3.0549033,3.5534515,3902668.8169899997,0.0,30203.707,0.42409761837248455,0.0
2035,34.16403809591539,40.66,21.558133,9.26999719,19.336884760674003,3.4806393,2.076517,3902668.8169899997,0.0,27457.915,0.3855432894295314,0.0
2036,35.530599619752,40.66,21.558133,9.26999719,21.70208476067401,3.9063753,0.6521425,3902668.8169899997,0.0,24961.741,0.3504938994813922,0.0
2037,36.951823604542085,40.66,21.558133,9.26999719,23.459175000450006,4.2226515,0.0,3902668.8169899997,0.0,9832.4924,0.3186308177103565,0.0
2038,38.42989654872377,40.66,21.558133,9.26999719,24.711779196666004,4.4481203,0.0,3902668.8169899997,0.0,8842.3112,0.2896643797366877,0.0
2039,39.96709241067272,40.66,21.558133,9.26999719,26.014487553162006,4.6826078,0.0,3902668.8169899997,0.0,7070.8217,0.26333125430607973,0.0
2040,41.56577610709963,40.66,21.558133,9.26999719,27.369304245810003,4.9264748,0.0,3902668.8169899997,0.0,7226.8417,0.23939204936916333,0.0
2041,43.228407151383614,40.66,21.558133,9.26999719,28.778313607110004,5.1800964,0.0,3902668.8169899997,0.0,14379.357,0.2176291357901485,0.0
2042,44.957543437438964,40.66,21.558133,9.26999719,28.778313607110004,5.1800964,1.7291363,3902668.8169899997,0.0,14090.252,0.19784466890013497,0.0
2043,46.75584517493653,40.66,21.558133,9.26999719,28.778313607110004,5.1800964,3.527438,3902668.8169899997,0.0,12809.32,0.17985878990921358,0.0
2044,48.626078981933986,40.66,21.558133,9.26999719,28.778313607110004,5.1800964,5.3976718,3902668.8169899997,0.0,11644.836,0.16350799082655781,0.0
2045,50.57112214121135,40.66,21.558133,9.26999719,28.778313607110004,5.1800964,7.342715,3902668.8169899997,0.0,10586.215,0.14864362802414344,0.0
