year,demand_twh,gas_avail_twh_th,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_price_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor,subsidy_per_mw_usd,solar_eaas_add_mw
2025,23.08,40.66,40.66,17.4838,3.5478000000000005,0.638604,1.409796,7360679.8,4292732100.0,0.0,1.0,0.0,1000.0
2026,24.0032,40.66,39.288474,16.89404382,5.913000000000001,1.06434,0.13181621,7112392.44822,0.0,21557.111,0.9090909090909091,0.0,0.0
2027,24.963328,40.66,37.901226,16.29752718,7.601460981624001,1.06434,0.0,6861258.942779999,0.0,123.91194,0.8264462809917354,0.0,0.0
2028,25.961861120000002,40.66,36.513977,15.701010109999999,9.196510872708002,1.06434,0.0,6610125.256309999,0.0,106.61104,0.7513148009015775,0.0,674.38267
2029,27.000335564800004,40.66,35.126729,15.10449347,10.831502085408001,1.06434,0.0,6358991.75087,0.0,92.117622,0.6830134553650705,0.0,691.26975
2030,28.080348987392,40.66,33.739481,14.507976829999999,12.508032288672002,1.06434,0.0,6107858.245429999,0.0,79.945172,0.6209213230591549,0.0,0.0
2031,29.203562946887686,40.66,33.303681,14.32058283,13.818640271256003,1.06434,0.0,6028965.371429999,0.0,68.14236,0.5644739300537772,0.0,554.12142
2032,30.371705464763192,40.66,32.867881,14.133188829999998,15.174176812524003,1.06434,0.0,5950072.497429999,0.0,58.340159,0.5131581182307065,0.0,0.0
2033,31.58657368335372,40.66,32.43208,13.945794399999999,16.576439062392,1.06434,0.0,5871179.442399999,0.0,50.182924,0.4665073802097331,0.0,592.87259
2034,32.85003663068787,40.66,31.99628,13.7584004,18.027296025552005,1.06434,0.0,5792286.568399999,0.0,42.213576,0.42409761837248455,0.0,613.4183
2035,34.16403809591539,40.66,31.56048,13.5710064,19.528691517972003,1.06434,0.0,5713393.6944,0.0,11.378334,0.3855432894295314,0.0,634.78585
2036,35.530599619752,40.66,31.56048,13.5710064,20.895253036956007,1.06434,0.0,5713393.6944,0.0,12.647876,0.3504938994813922,0.0,0.0
2037,36.951823604542085,40.66,31.56048,13.5710064,22.316477024268007,1.06434,0.0,5713393.6944,0.0,8.7054197,0.3186308177103565,0.0,0.0
2038,38.42989654872377,40.66,31.56048,13.5710064,23.794549965396005,1.06434,0.0,5713393.6944,0.0,7.7024535,0.2896643797366877,0.0,0.0
2039,39.96709241067272,40.66,31.56048,13.5710064,25.331745834576004,1.06434,0.0,5713393.6944,0.0,4.8865873,0.26333125430607973,0.0,0.0
2040,41.56577610709963,40.66,31.56048,13.5710064,26.930429524332006,1.06434,0.0,5713393.6944,0.0,6.1908175,0.23939204936916333,0.0,675.91903
2041,43.228407151383614,40.66,31.56048,13.5710064,28.593060558840005,1.06434,0.0,5713393.6944,0.0,5.4690645,0.2176291357901485,0.0,0.0
2042,44.957543437438964,40.66,31.56048,13.5710064,30.322196854596005,1.06434,0.0,5713393.6944,0.0,4.8273756,0.19784466890013497,0.0,731.07403
2043,46.75584517493653,40.66,31.56048,13.5710064,32.120498599344,1.06434,0.0,5713393.6944,0.0,4.2571585,0.17985878990921358,0.0,760.31699
2044,48.626078981933986,40.66,31.56048,13.5710064,33.990732414828,1.06434,0.0,5713393.6944,0.0,3.7507215,0.16350799082655781,0.0,790.72967
2045,50.57112214121135,40.66,31.56048,13.5710064,35.93577556684801,1.06434,0.0,5713393.6944,0.0,84.047105,0.14864362802414344,0.0,0.0
