case,cum_gas_to_power_twh_th,cum_gas_generation_twh_e,cum_solar_generation_twh_e,cum_storage_discharge_twh_e,cum_unserved_twh,cum_emissions_tco2_timeseries
baseline_no_policy,897.9358870000001,386.11243141,351.736742477232,0.0,0.0,162553333.62360996
ndc2_unconditional,722.5322689999999,310.6888756700001,343.98553462869614,0.0,83.17476386,130800016.65706998
ndc2_conditional,519.856498,223.53829414,465.18263447778014,0.0,49.12824915,94109621.83294001
ndc2_unconditional_eaas,722.5322689999999,310.6888756700001,403.6608423686161,21.925404000000007,1.57405248,130800016.65706998
ndc2_conditional_eaas,519.856498,223.53829414,457.454499864804,51.72692400000001,5.12946006,94109621.83294001
ndc3_unconditional,700.9950889999999,301.4278882699999,348.1430336614081,0.0,88.27825250000001,126901140.96166998
ndc3_conditional,612.2940070000001,263.28642301,452.8340843374801,0.0,21.72866844,110843584.08720997
ndc3_unconditional_eaas,700.9950889999999,301.4278882699999,412.95426929809213,21.925404000000007,1.54161221,126901140.96166998
ndc3_conditional_eaas,612.2940070000001,263.28642301,450.81750038976014,21.925404000000007,1.81984802,110843584.08720997
