policy_label,surplus_frac,hd,solar_eaas_mw,storage_mwh,complement_ratio,utilisation,dominant,status
ndc3_unconditional,0.1,200,6520.02213,0.0,0.0,0.0,,optimal
ndc3_unconditional,0.1,700,5828.752379999999,0.0,0.0,0.0,,optimal
ndc3_unconditional,0.1,1200,5274.63096,0.0,0.0,0.0,,optimal
ndc3_unconditional,0.2,200,6520.02213,0.0,0.0,0.0,,optimal
ndc3_unconditional,0.2,700,6520.02213,0.0,0.0,0.0,,optimal
ndc3_unconditional,0.2,1200,6520.02213,0.0,0.0,0.0,,optimal
ndc3_unconditional,0.35,200,6520.02213,0.0,0.0,0.0,,optimal
ndc3_unconditional,0.35,700,6520.02213,0.0,0.0,0.0,,optimal
ndc3_unconditional,0.35,1200,6520.02213,0.0,0.0,0.0,,optimal
no_policy,0.1,200,6522.185869999999,0.0,0.0,0.0,,optimal
no_policy,0.1,700,6522.185869999999,0.0,0.0,0.0,,optimal
no_policy,0.1,1200,6522.185869999999,0.0,0.0,0.0,,optimal
no_policy,0.2,200,6522.185869999999,0.0,0.0,0.0,,optimal
no_policy,0.2,700,6522.185869999999,0.0,0.0,0.0,,optimal
no_policy,0.2,1200,6522.185869999999,0.0,0.0,0.0,,optimal
no_policy,0.35,200,6522.185869999999,0.0,0.0,0.0,,optimal
no_policy,0.35,700,6522.185869999999,0.0,0.0,0.0,,optimal
no_policy,0.35,1200,6522.185869999999,0.0,0.0,0.0,,optimal
