voll_usd_per_mwh,financing_arm,status,npv_cost_total,real_expenditure,voll_penalty,voll_share,unserved_total_twh,unserved_fraction,reliability_binding,solar_total_mw,storage_mwh
1000,public_only,optimal,52460190297.51628,6960385044.0,45499805254.0,0.8673,73.78491719,0.09999999948885291,True,12962.405689999998,0.0
1000,eaas,optimal,10464143433.62477,10464143434.0,0.0,0.0,0.0,0.0,False,15143.5462,0.0
2000,public_only,optimal,97959995551.4029,6960385044.0,90999610508.0,0.9289,73.78491719,0.09999999948885291,True,12962.405689999998,0.0
2000,eaas,optimal,10464143433.62477,10464143434.0,0.0,0.0,0.0,0.0,False,15143.5462,0.0
3000,public_only,optimal,143459800805.28952,6960385044.0,136499415762.0,0.9515,73.78491719,0.09999999948885291,True,12962.405689999998,0.0
3000,eaas,optimal,10464143433.62477,10464143434.0,0.0,0.0,0.0,0.0,False,15143.5462,0.0
5000,public_only,optimal,234459411313.06277,6960385044.0,227499026269.0,0.9703,73.78491719,0.09999999948885291,True,12962.405689999998,0.0
5000,eaas,optimal,10464143433.62477,10464143434.0,0.0,0.0,0.0,0.0,False,15143.5462,0.0
7500,public_only,optimal,348208924447.77936,6960385044.0,341248539404.0,0.98,73.78491719,0.09999999948885291,True,12962.405689999998,0.0
7500,eaas,optimal,10464143433.62477,10464143434.0,0.0,0.0,0.0,0.0,False,15143.5462,0.0
10000,public_only,optimal,461958437582.4959,6960385044.0,454998052539.0,0.9849,73.78491719,0.09999999948885291,True,12962.405689999998,0.0
10000,eaas,optimal,10464143433.62477,10464143434.0,0.0,0.0,0.0,0.0,False,15143.5462,0.0
12500,public_only,optimal,575707950717.2124,6960385044.0,568747565674.0,0.9879,73.78491719,0.09999999948885291,True,12962.405689999998,0.0
12500,eaas,optimal,10464143433.62477,10464143434.0,0.0,0.0,0.0,0.0,False,15143.5462,0.0
15000,public_only,optimal,689457463851.9291,6960385044.0,682497078808.0,0.9899,73.78491719,0.09999999948885291,True,12962.405689999998,0.0
15000,eaas,optimal,10464143433.62477,10464143434.0,0.0,0.0,0.0,0.0,False,15143.5462,0.0
